category,original_N,below_count,upper_count,all_count,below_rate_fb,upper_rate_fb,all_rate_fb,nominal_rate_fb,upper_over_nominal,ratio_low,ratio_high,ratio_precision,upper_hist_relative_error,upper_5pct_floor,below_upper_fixed_N_covariance_pb2
CRVV_MT2_hghmet_cuts,20000,8,15,23,0.03638764583999999,0.06822683594999998,0.10461448178999999,0.07615473682866666,0.8958974686433111,0.4133060025937038,1.3784889346929183,supported_conditional_Gaussian,0.2581988897471611,False,-1.2413069716661895e-13
CRVV_MT2_lowmet_cuts,20000,2,3,5,0.009096911459999997,0.013645367189999997,0.022742278649999996,0.017678789775333333,0.7718496211227623,,,sparse_or_zero_unresolved,0.5773502691896257,False,-6.206534858330948e-15
CRtau_MT2_hghmet_cuts,20000,1,1,2,0.004548455729999999,0.004548455729999999,0.009096911459999997,0.012919240344666665,0.3520683576320103,,,sparse_or_zero_unresolved,1.0,False,-1.0344224763884913e-15
CRtau_MT2_lowmet_cuts,20000,0,5,5,0.0,0.022742278649999996,0.022742278649999996,0.01903884636866666,1.194519783899737,,,sparse_or_zero_unresolved,0.4472135954999579,False,-0.0
CRtop_MT2_hghmet_cuts,20000,2,11,13,0.009096911459999997,0.05003301303,0.059129924489999985,0.03331749466066666,1.5017039408148243,0.5199664651694287,2.48344141646022,supported_conditional_Gaussian,0.30151134457776363,False,-2.2757294480546807e-14
CRtop_MT2_lowmet_cuts,20000,0,1,1,0.0,0.004548455729999999,0.004548455729999999,0.009519531291999998,0.47780248737901826,,,sparse_or_zero_unresolved,1.0,False,-0.0
SRee_eMT2a_hghmet_cuts,20000,0,1,1,0.0,0.004548455729999999,0.004548455729999999,0.0033999252679999996,1.3378105021336604,,,sparse_or_zero_unresolved,1.0,False,-0.0
SRee_eMT2a_lowmet_V2_cuts,20000,1,1,2,0.004548455729999999,0.004548455729999999,0.009096911459999997,0.009519531291999998,0.47780248737901826,,,sparse_or_zero_unresolved,1.0,False,-1.0344224763884913e-15
SRee_eMT2b_hghmet_cuts,20000,0,2,2,0.0,0.009096911459999997,0.009096911459999997,0.011560048612666667,0.7869267478713075,,,sparse_or_zero_unresolved,0.7071067811865475,False,-0.0
SRee_eMT2b_lowmet_V2_cuts,20000,0,3,3,0.0,0.013645367189999997,0.013645367189999997,0.010879804100666666,1.2541923607947931,,,sparse_or_zero_unresolved,0.5773502691896257,False,-0.0
SRee_eMT2c_hghmet_cuts,20000,1,6,7,0.004548455729999999,0.027290734379999994,0.03183919010999999,0.022438339205999996,1.2162546492167507,,,sparse_or_zero_unresolved,0.408248290463863,False,-6.206534858330948e-15
SRee_eMT2c_lowmet_V2_cuts,20000,1,4,5,0.004548455729999999,0.018193822919999995,0.022742278649999996,0.01835903428733333,0.9910010861820047,,,sparse_or_zero_unresolved,0.5,False,-4.137689905553965e-15
SRee_eMT2d_hghmet_cuts,20000,3,18,21,0.013645367189999997,0.08187220313999999,0.09551757032999998,0.08227628879066666,0.9950886743118084,0.5026165634064914,1.4875607852171253,supported_conditional_Gaussian,0.2357022603955158,False,-5.5858813724978527e-14
SRee_eMT2d_lowmet_V2_cuts,20000,0,8,8,0.0,0.03638764583999999,0.03638764583999999,0.04963622784266666,0.7330864455562363,,,sparse_or_zero_unresolved,0.35355339059327373,False,-0.0
SRee_eMT2e_hghmet_cuts,20000,1,14,15,0.004548455729999999,0.06367838021999998,0.06822683594999998,0.03399644188066667,1.873089555769454,0.7634011422675613,2.9827779692713468,supported_conditional_Gaussian,0.2672612419124244,False,-1.4481914669438876e-14
SRee_eMT2e_lowmet_V2_cuts,20000,2,9,11,0.009096911459999997,0.040936101569999994,0.05003301303,0.033997955388,1.2040753952059395,,,sparse_or_zero_unresolved,0.3333333333333333,False,-1.8619604574992843e-14
SRee_eMT2f_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRee_eMT2f_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRee_eMT2g_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRee_eMT2g_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRee_eMT2h_hghmet_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRee_eMT2h_lowmet_V2_cuts,20000,0,0,0,0.0,0.0,0.0,0.0,,,,sparse_or_zero_unresolved,,False,-0.0
SRmm_eMT2a_hghmet_cuts,20000,0,3,3,0.0,0.013645367189999997,0.013645367189999997,0.010880020316000001,1.2541674366116136,,,sparse_or_zero_unresolved,0.5773502691896257,False,-0.0
