sample,workspace_index,channel,group,region,flavour,native_yield,official_yield,native_sumw_pb,native_sumw2_pb2,native_selected_nonzero,native_neff,native_mc_error,native_relative_mc_error,precision_status,official_sample_status,official_mc_constraint_error,official_mc_constraint_type,official_raw_selected_count,official_raw_sumw2,official_constraint_implied_effective_count,nominal_background,observed_data,observed_minus_nominal_background
smoke2,0,CRVV_MT2_hghmet_cuts,CR,CR_S_VV_high,,11.42671732668532,6.757658004760742,8.220659947255626e-05,3.378962498420644e-09,2,2.0,8.079909308401009,0.7071067811865475,estimated-from-weight-moments,present,1.0087535176389033,staterror,,,44.87684259643869,393.64001846313477,367,-26.640018463134766
smoke2,1,CRVV_MT2_lowmet_cuts,CR,CR_S_VV_low,,5.71335866334266,1.2870457172393799,4.110329973627813e-05,1.689481249210322e-09,1,1.0,5.71335866334266,1.0,estimated-from-weight-moments,present,0.47415888167282527,staterror,,,7.367839687125146,306.25725078582764,272,-34.25725078582764
smoke2,2,CRtau_MT2_hghmet_cuts,CR,CR_S_tau_high,,0.0,1.0903632640838623,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.3897937599282783,staterror,,,7.824789396680009,262.5690574645996,218,-44.56905746459961
smoke2,3,CRtau_MT2_lowmet_cuts,CR,CR_S_tau_low,,0.0,2.1432151794433594,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.5690851367869714,staterror,,,14.183292752561526,759.0564527511597,799,39.94354724884033
smoke2,4,CRtop_MT2_hghmet_cuts,CR,CR_S_top_high,,11.42671732668532,15.519792556762695,8.220659947255626e-05,3.378962498420644e-09,2,2.0,8.079909308401009,0.7071067811865475,estimated-from-weight-moments,present,1.6129513370424797,staterror,,,92.58258324240666,1987.8625400159508,2053,65.1374599840492
smoke2,5,CRtop_MT2_lowmet_cuts,CR,CR_S_top_low,,0.0,5.6018967628479,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.9842804213543593,staterror,,,32.391608069354454,2889.4120810125023,3106,216.5879189874977
smoke2,6,SRee_eMT2a_hghmet_cuts,SR-high,SR_S_high_eMT2a,isee,0.0,1.3944287300109863,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.44127786629403354,staterror,,,9.985466411915683,4.061394581571221,3,-1.0613945815712214
smoke2,7,SRee_eMT2a_lowmet_V2_cuts,SR-low,SR_S_low_eMT2a,isee,0.0,2.1869678497314453,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.6345776716655962,staterror,,,11.877231554155454,4.212039137259126,8,3.7879608627408743
smoke2,8,SRee_eMT2b_hghmet_cuts,SR-high,SR_S_high_eMT2b,isee,11.42671732668532,1.4041948318481445,8.220659947255626e-05,3.378962498420644e-09,2,2.0,8.079909308401009,0.7071067811865475,estimated-from-weight-moments,present,0.5001524359835144,staterror,,,7.882245619072749,3.4521576147526503,3,-0.45215761475265026
smoke2,9,SRee_eMT2b_lowmet_V2_cuts,SR-low,SR_S_low_eMT2b,isee,0.0,1.5879237651824951,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.4826362079263616,staterror,,,10.824790424335049,5.3189516216516495,5,-0.3189516216516495
smoke2,10,SRee_eMT2c_hghmet_cuts,SR-high,SR_S_high_eMT2c,isee,0.0,4.657464504241943,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.8532424798771928,staterror,,,29.7957395151046,8.188006713986397,9,0.8119932860136032
smoke2,11,SRee_eMT2c_lowmet_V2_cuts,SR-low,SR_S_low_eMT2c,isee,5.71335866334266,3.760563611984253,4.110329973627813e-05,1.689481249210322e-09,1,1.0,5.71335866334266,1.0,estimated-from-weight-moments,present,0.7979407370230116,staterror,,,22.21082057212825,9.553907573223114,15,5.446092426776886
smoke2,12,SRee_eMT2d_hghmet_cuts,SR-high,SR_S_high_eMT2d,isee,5.71335866334266,13.900753021240234,4.110329973627813e-05,1.689481249210322e-09,1,1.0,5.71335866334266,1.0,estimated-from-weight-moments,present,1.4955792061295197,staterror,,,86.38887486624361,14.322085037827492,13,-1.3220850378274918
smoke2,13,SRee_eMT2d_lowmet_V2_cuts,SR-low,SR_S_low_eMT2d,isee,5.71335866334266,8.071308135986328,4.110329973627813e-05,1.689481249210322e-09,1,1.0,5.71335866334266,1.0,estimated-from-weight-moments,present,1.1490573164435307,staterror,,,49.34060499545342,22.77468355000019,19,-3.7746835500001907
smoke2,14,SRee_eMT2e_hghmet_cuts,SR-high,SR_S_high_eMT2e,isee,0.0,6.5795793533325195,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,1.0215008333914126,staterror,,,41.487647329003444,8.724921852350235,9,0.275078147649765
smoke2,15,SRee_eMT2e_lowmet_V2_cuts,SR-low,SR_S_low_eMT2e,isee,0.0,4.783873558044434,0.0,0.0,0,,0.0,,zero-selected/precision-unresolved,present,0.931678353586214,staterror,,,26.36497562151927,28.099231839179993,30,1.9007681608200073
