sample,flavour,pt_low_gev,pt_high_gev,raw_truth,raw_matched,contributing_events,truth_sumw,matched_sumw,event_truth_sumw2,event_matched_sumw2,event_truth_matched_cross,ratio,standard_error,precision_status
smoke2,electron,0,2,17,0,17,0.5921661779284477,0.0,0.020627104840140353,0.0,0.0,0.0,,boundary_count_precision_unresolved
smoke2,electron,2,3,38,0,38,1.3236655741930008,0.0,0.04610764611325491,0.0,0.0,0.0,,boundary_count_precision_unresolved
smoke2,electron,3,4,47,0,45,1.6371653154492378,0.0,0.06188131452042106,0.0,0.0,0.0,,boundary_count_precision_unresolved
smoke2,electron,4,5,44,6,44,1.5326654016971588,0.20899982750415802,0.05338780076271621,0.007280154649461301,0.007280154649461301,0.13636363636363635,0.05173547117995419,event_cluster_delta_approximation
smoke2,electron,5,7,101,36,97,3.51816376298666,1.2539989650249481,0.13225614279854697,0.04368092789676781,0.04732100522149846,0.3564356435643564,0.04648836323548394,event_cluster_delta_approximation
smoke2,electron,7,10,146,74,135,5.085662469267845,2.577664539217949,0.20384433018491643,0.09706872865948402,0.10313552420070177,0.5068493150684932,0.04165948177006433,event_cluster_delta_approximation
smoke2,electron,10,15,213,118,186,7.41949387639761,4.110329940915108,0.3239668819010279,0.15773668407166153,0.17593707069531478,0.5539906103286385,0.03362188052174595,event_cluster_delta_approximation
smoke2,electron,15,20,147,86,135,5.1204957738518715,2.995664194226265,0.20748440750964708,0.11405575617489372,0.12376262904084212,0.5850340136054422,0.03918529234441901,event_cluster_delta_approximation
smoke2,electron,20,30,168,109,154,5.851995170116425,3.7968301996588707,0.23781838521573584,0.14438973388098247,0.15409660674693088,0.6488095238095238,0.03606441733921087,event_cluster_delta_approximation
smoke2,electron,30,50,99,61,89,3.4484971538186073,2.1248315796256065,0.14438973388098247,0.08857521490177916,0.09342865133475337,0.6161616161616161,0.04874726171907933,event_cluster_delta_approximation
smoke2,electron,50,100,20,19,19,0.6966660916805267,0.6618327870965004,0.026693900381358104,0.023053823056627454,0.024267182164871004,0.95,0.046233105022267316,event_cluster_delta_approximation
smoke2,electron,100,,2,2,2,0.06966660916805267,0.06966660916805267,0.0024267182164871004,0.0024267182164871004,0.0024267182164871004,1.0,,boundary_count_precision_unresolved
smoke2,muon,0,2,27,0,26,0.9404992237687111,0.0,0.035187414139062956,0.0,0.0,0.0,,boundary_count_precision_unresolved
smoke2,muon,2,3,32,0,32,1.1146657466888428,0.0,0.038827491463793606,0.0,0.0,0.0,,boundary_count_precision_unresolved
smoke2,muon,3,4,33,15,32,1.149499051272869,0.522499568760395,0.04246756878852426,0.018200386623653253,0.018200386623653253,0.45454545454545453,0.08884030576637521,event_cluster_delta_approximation
smoke2,muon,4,5,53,32,51,1.8461651429533958,1.1146657466888428,0.06916146916988236,0.038827491463793606,0.04004085057203716,0.6037735849056604,0.06784552082347652,event_cluster_delta_approximation
smoke2,muon,5,7,91,64,85,3.1698307171463966,2.2293314933776855,0.12497598814908567,0.08736185579353561,0.08978857401002271,0.7032967032967034,0.047721406980051055,event_cluster_delta_approximation
smoke2,muon,7,10,126,87,120,4.388996377587318,3.0304974988102913,0.16744355693760993,0.11526911528313727,0.11769583349962437,0.6904761904761905,0.04111703706020279,event_cluster_delta_approximation
smoke2,muon,10,15,193,140,173,6.722827784717083,4.876662641763687,0.2827126722207472,0.19171073910248093,0.20263097107667288,0.7253886010362695,0.03207507347644118,event_cluster_delta_approximation
smoke2,muon,15,20,140,99,124,4.876662641763687,3.4484971538186073,0.20869776661789063,0.14924317031395667,0.15288324763868733,0.7071428571428572,0.039646895232048424,event_cluster_delta_approximation
smoke2,muon,20,30,164,138,152,5.712661951780319,4.8069960325956345,0.22811151234978744,0.19171073910248093,0.19413745731896803,0.8414634146341463,0.028500547139703757,event_cluster_delta_approximation
