SR,events,acceptance,err
All,10000,0.0236826,5.60866e-08
SR_E_lT_eMLLa,0,0,0
SR_E_lT_eMLLb,0,0,0
SR_E_lT_eMLLc,0,0,0
SR_E_lT_eMLLd,0,0,0
SR_E_lT_eMLLe,0,0,0
SR_E_lT_eMLLf,0,0,0
SR_E_high_eMLLa,0,0,0
SR_E_high_eMLLb,0,0,0
SR_E_high_eMLLc,1,0.0001,0.0001
SR_E_high_eMLLd,0,0,0
SR_E_high_eMLLe,1,0.0001,0.0001
SR_E_high_eMLLf,1,0.0001,0.0001
SR_E_high_eMLLg,2,0.0002,0.000141421
SR_E_high_eMLLh,6,0.0006,0.000244949
SR_E_med_eMLLa,0,0,0
SR_E_med_eMLLb,0,0,0
SR_E_med_eMLLc,0,0,0
SR_E_med_eMLLd,0,0,0
SR_E_med_eMLLe,0,0,0
SR_E_med_eMLLf,0,0,0
SR_E_low_eMLLa,0,0,0
SR_E_low_eMLLb,0,0,0
SR_E_low_eMLLc,0,0,0
SR_E_low_eMLLd,0,0,0
SR_E_low_eMLLe,1,0.0001,0.0001
SR_E_low_eMLLf,2,0.0002,0.000141421
SR_E_low_eMLLg,1,0.0001,0.0001
SR_E_low_eMLLh,3,0.0003,0.000173205
SR_E_lT_iMLLa,0,0,0
SR_E_lT_iMLLb,0,0,0
SR_E_lT_iMLLc,0,0,0
SR_E_lT_iMLLd,0,0,0
SR_E_lT_iMLLe,0,0,0
SR_E_lT_iMLLf,0,0,0
SR_E_lT_iMLLg,0,0,0
SR_E_lT_iMLLh,0,0,0
SR_E_lT_iMLLi,0,0,0
SR_E_high_iMLLa,0,0,0
SR_E_high_iMLLb,0,0,0
SR_E_high_iMLLc,0,0,0
SR_E_high_iMLLd,1,0.0001,0.0001
SR_E_high_iMLLe,1,0.0001,0.0001
SR_E_high_iMLLf,2,0.0002,0.000141421
SR_E_high_iMLLg,3,0.0003,0.000173205
SR_E_high_iMLLh,5,0.0005,0.000223607
SR_E_high_iMLLi,11,0.0011,0.000331662
SR_E_med_iMLLa,0,0,0
SR_E_med_iMLLb,0,0,0
SR_E_med_iMLLc,0,0,0
SR_E_med_iMLLd,0,0,0
SR_E_med_iMLLe,0,0,0
SR_E_med_iMLLf,0,0,0
SR_E_med_iMLLg,0,0,0
SR_E_med_iMLLh,0,0,0
SR_E_med_iMLLi,0,0,0
SR_E_low_iMLLa,0,0,0
SR_E_low_iMLLb,0,0,0
SR_E_low_iMLLc,0,0,0
SR_E_low_iMLLd,0,0,0
SR_E_low_iMLLe,0,0,0
SR_E_low_iMLLf,1,0.0001,0.0001
SR_E_low_iMLLg,3,0.0003,0.000173205
SR_E_low_iMLLh,4,0.0004,0.0002
SR_E_low_iMLLi,7,0.0007,0.000264575
SR_E_iMLLa,0,0,0
SR_E_iMLLb,0,0,0
SR_E_iMLLc,0,0,0
SR_E_iMLLd,1,0.0001,0.0001
SR_E_iMLLe,1,0.0001,0.0001
SR_E_iMLLf,3,0.0003,0.000173205
SR_E_iMLLg,6,0.0006,0.000244949
SR_E_iMLLh,9,0.0009,0.0003
SR_E_iMLLi,18,0.0018,0.000424264
SR_S_high_eMT2a,1,0.0001,0.0001
SR_S_high_eMT2b,1,0.0001,0.0001
SR_S_high_eMT2c,1,0.0001,0.0001
SR_S_high_eMT2d,4,0.0004,0.0002
SR_S_high_eMT2e,3,0.0003,0.000173205
SR_S_high_eMT2f,2,0.0002,0.000141421
SR_S_high_eMT2g,0,0,0
SR_S_high_eMT2h,3,0.0003,0.000173205
SR_S_low_eMT2a,0,0,0
SR_S_low_eMT2b,1,0.0001,0.0001
SR_S_low_eMT2c,1,0.0001,0.0001
SR_S_low_eMT2d,1,0.0001,0.0001
SR_S_low_eMT2e,0,0,0
SR_S_low_eMT2f,3,0.0003,0.000173205
SR_S_low_eMT2g,2,0.0002,0.000141421
SR_S_low_eMT2h,6,0.0006,0.000244949
SR_S_high_iMT2a,1,0.0001,0.0001
SR_S_high_iMT2b,2,0.0002,0.000141421
SR_S_high_iMT2c,3,0.0003,0.000173205
SR_S_high_iMT2d,7,0.0007,0.000264575
SR_S_high_iMT2e,10,0.001,0.000316228
SR_S_high_iMT2f,12,0.0012,0.00034641
SR_S_high_iMT2g,12,0.0012,0.00034641
SR_S_high_iMT2h,15,0.0015,0.000387298
